facility_id,lat,lon,geo_source
FA0066639,34.096330060943,-118.326716258219,census
FA0305506,34.20366104984,-118.448829148051,census
FA0315792,34.07131357882,-118.165378307225,census
FA0062285,34.303218980779,-118.453784111112,census
FA0294333,34.027004068183,-118.50147452663,census
FA0266286,34.027504844674,-118.371961016605,census
FA0301154,34.083424414789,-118.327638441294,census
FA0293001,34.094864556464,-118.090961902301,census
FA0294337,34.07676388164,-118.15303742068,census
FA0159700,34.011060099124,-118.082922051807,census
FA0296991,34.087793863034,-118.150631211604,census
FA0326433,33.832258456088,-118.100259516486,census
FA0326431,34.085006988113,-118.28691368863,census
FA0301151,33.742051634833,-118.287953881504,census
FA0323392,34.010482719657,-118.109803229213,census
FA0248447,34.01274032869,-118.496365026574,census
FA0029632,34.193880842436,-118.414202813631,census
FA0169933,33.927823654157,-118.129574883335,census
FA0029633,34.100715400376,-117.770146573376,census
FA0268059,34.04743392431,-118.223931605537,census
FA0006993,33.930319955533,-118.113711244914,census
FA0165578,34.045052699539,-118.20365920834,census
FA0262751,34.141318438071,-118.387637554951,census
FA0313101,33.83235770298,-118.163202679067,census
FA0043938,33.987317295621,-117.889362394447,census
FA0156624,34.010493768945,-118.415349033687,census
FA0318802,33.930276424866,-118.220629526897,census
FA0017654,33.956377182039,-118.442502813747,census
FA0278269,34.184538712127,-118.131475367049,census
FA0296916,34.027711626527,-118.200964357075,census
FA0269380,34.139725414875,-117.977028209637,census
FA0296914,33.967259878433,-118.265071231526,census
FA0326420,34.038473709178,-118.555717301909,census
FA0296915,33.972460653256,-118.208977273559,census
FA0292572,33.86183538793,-118.281389865106,census
FA0323381,33.954410319021,-118.208456508326,census
FA0301134,33.862532791507,-118.092921729605,census
FA0006981,33.874649296036,-118.214684562851,census
FA0301137,34.065170344301,-118.122781168054,census
FA0052887,34.107046416111,-117.934686710246,census
FA0004322,34.228676162389,-118.467723620739,census
FA0301139,33.960106415012,-118.156339034519,census
FA0165562,34.131551247944,-118.216460097244,census
FA0006988,33.917208740448,-118.030162432581,census
FA0015000,34.146322419807,-118.076614669736,census
FA0280593,34.036041201024,-118.192339452445,census
FA0309097,33.99922121585,-117.847372098724,census
FA0278277,34.079583515499,-118.103991210077,census
FA0326418,34.040493845685,-118.174433541827,census
FA0296928,34.033381438481,-118.185252667188,census
FA0051548,34.052355017542,-118.371368489181,census
FA0025288,34.173397507435,-118.361486598945,census
FA0280590,33.989980338665,-118.12228139075,census
FA0144636,34.228595286794,-118.527546403569,census
FA0248426,34.004870963299,-118.291610924196,census
FA0303761,34.100578733304,-118.322383038795,census
FA0291253,33.7305192264,-118.292296881895,census
FA0303760,33.968874939754,-118.098105058029,census
FA0249755,33.863784707745,-118.398242200983,census
FA0248422,34.079582235863,-118.101613041431,census
FA0052875,33.863454557344,-118.400254456823,census
FA0296940,34.062545433448,-118.399142949254,census
FA0256052,33.901683054631,-118.361337908873,census
FA0170901,34.188710679027,-118.642608865208,census
FA0292580,34.182763563502,-118.396372016742,census
FA0256057,34.079069004181,-117.988473152089,census
FA0066686,34.012735098152,-118.494629244884,census
FA0256054,34.135971577252,-118.054182070973,census
FA0278288,34.002508560741,-118.086949537307,census
FA0156640,33.938605427646,-118.044242262252,census
FA0274706,33.913272306591,-118.081617272243,census
FA0296935,34.060488213438,-118.239161658085,census
FA0031923,33.994327412832,-118.417085448991,census
FA0322045,33.736988893122,-118.2850746697,census
FA0270344,34.058551127171,-118.345381346084,census
FA0324690,34.051657111208,-118.218477485097,census
FA0301113,34.114700561312,-118.15027807961,census
FA0029624,33.760367838109,-118.394044362468,census
FA0037247,33.872777319785,-118.404716951555,census
FA0257370,34.108197231454,-117.920438472001,census
FA0262720,34.099344597999,-118.090872568612,census
FA0069723,34.048069815898,-118.544405927846,census
